REPORT_DATE,SECUCODE,INDUSTRY_NAME,SECURITY_NAME_ABBR,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,ACCOUNTS_RECE,INVENTORY,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ADVANCE_RECEIVABLES,TOTAL_EQUITY,DEBT_ASSET_RATIO,PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,OPERATE_EXPENSE,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,TOTAL_OPERATE_COST,OPERATE_PROFIT,TOTAL_PROFIT,CCE_ADD,NETCASH_OPERATE,SALES_SERVICES,PAY_STAFF_CASH,NETCASH_INVEST,RECEIVE_INVEST_INCOME,CONSTRUCT_LONG_ASSET,NETCASH_FINANCE
16017,000014.SZ,房地产开发,沙河股份,25.39,2464.12,32383.09,63.17,180462.36,15.45,33273.66,26.42,9.94,60.86,3542.35,2619.50,64173.64,40501.19,2268.33,6504.41,-242.31,55447.70,5610.91,6841.28,-21198.03,-7248.20,65229.18,5502.27,-1943.51,0.00,1948.31,-12006.30
16019,000016.SZ,家电行业,深康佳A,398.75,401029.53,648955.32,339772.95,406853.78,296.74,378431.51,0.00,102.01,74.42,90535.30,-325079.81,4910651.37,4740188.50,142806.29,96044.91,95264.23,5146645.34,151308.86,157124.54,167029.11,80875.64,4951508.90,195279.88,-268495.26,9879.57,663994.17,356485.74
16008,000017.SZ,交运设备,深中华A,0.97,343.92,3324.70,4685.01,824.86,0.73,829.73,0.00,0.24,75.35,-198.67,-454.89,16524.66,15260.70,330.40,615.46,1.06,16423.01,-108.20,-70.56,1335.90,1567.39,18724.16,853.41,-1.89,0.00,1.89,-229.61
16037,000019.SZ,贸易行业,深粮控股,76.70,212783.11,5040.99,28304.73,346061.87,29.73,42690.67,237.99,46.97,38.76,42872.02,37755.83,1013956.37,885928.53,25021.65,30073.56,5636.86,950400.45,50299.30,51612.83,-14112.41,44039.60,1087251.56,30017.24,-54396.22,381.50,20358.57,-3740.79
16079,000020.SZ,光学光电子,深华发A,6.60,18788.93,3442.60,12867.53,9058.57,3.16,8852.95,0.00,3.43,47.96,720.19,637.94,76561.12,68283.89,844.05,4148.48,779.55,75471.78,1104.04,1195.06,275.16,-1232.38,53026.80,7393.24,-632.13,12.66,658.39,2408.95
16078,000021.SZ,消费电子,深科技,270.49,425912.89,854516.39,277207.99,354548.28,155.75,313565.88,231.46,114.74,57.58,77539.42,30752.58,1648825.32,1489833.54,6978.57,62814.09,-2923.78,1594558.29,102101.54,102336.74,351256.44,86760.57,1230772.39,245010.71,-280593.02,2066.98,283041.42,546219.31
16004,000023.SZ,水泥建材,深天地A,21.65,14111.64,30965.39,77034.17,12894.40,16.06,93205.21,3.59,5.59,74.17,-5303.43,-6474.62,147987.46,134005.68,857.85,8237.71,1765.41,146928.51,-1146.79,-1092.51,-18382.31,14198.04,112195.51,13829.64,-14586.45,0.00,2420.62,-17993.90
16063,000025.SZ,汽车服务,特力A,18.60,10943.82,24058.21,1809.41,2543.49,4.02,6740.78,182.78,14.57,21.64,13102.08,7173.10,50852.00,35292.97,2717.82,4715.13,-427.09,42993.24,17538.56,17611.62,319.29,12661.17,56933.71,5939.02,-13069.30,4799.74,13836.41,703.80
16054,000026.SZ,珠宝首饰,飞亚达,41.11,34949.53,21025.47,38888.56,205014.88,10.97,25458.89,1102.57,30.13,26.70,38784.03,36941.88,524373.35,328565.62,104989.82,26162.68,3467.71,472722.44,50538.64,50232.77,-14280.25,54724.91,585772.64,71010.22,-20436.31,0.00,20442.28,-48454.81
16007,000027.SZ,电力行业,深圳能源,1317.56,5782475.12,694415.04,1027066.49,157337.71,818.95,248786.40,0.00,498.60,62.16,212851.74,183956.36,3156955.46,2542539.55,11684.13,150699.05,199890.47,2953820.48,268654.31,275132.49,21839.91,430742.67,3265431.79,244000.98,-1113617.91,49804.44,1225368.95,706465.59
16083,000028.SZ,医药商业,国药一致,427.84,86862.63,512615.91,1596460.33,762154.16,247.61,905771.90,1928.96,180.22,57.88,133642.78,128630.60,6835780.96,6033929.81,475286.30,104563.56,21248.28,6651974.70,195241.13,197485.29,-67160.10,165518.10,7159727.90,336962.97,-45553.21,16911.09,37043.06,-187164.05
16017,000029.SZ,房地产开发,深深房A,61.82,2392.04,56435.88,6104.88,403493.36,19.55,14144.76,641.14,42.27,31.62,22083.63,20830.67,132079.06,66634.84,4273.77,9830.78,-1808.35,104367.08,28486.62,28640.42,-205681.03,-120595.21,142724.94,19151.13,-95176.64,188.92,184.55,10134.86
16035,000030.SZ,汽车零部件,富奥股份,148.61,299188.26,273149.25,195067.04,114251.17,63.49,266050.93,578.85,85.12,42.72,84144.15,68309.41,1282820.44,1139278.73,16029.77,70152.29,98.95,1269760.30,74416.19,84596.02,117880.32,180836.51,1123887.58,146248.73,-5660.75,56690.32,62984.66,-57074.38
16017,000031.SZ,房地产开发,大悦城,2127.27,371481.85,2488615.48,30147.72,10200300.00,1606.36,1472150.57,32721.57,520.91,75.51,10751.02,4117.27,4261449.74,3092257.86,142091.62,158100.32,138638.49,3694381.64,285951.55,292068.16,-669405.20,-846413.23,4000952.32,207884.31,-549580.65,27354.59,288509.62,726251.70
16015,000032.SZ,通信设备,深桑达A,441.30,422932.72,757427.82,1003158.28,98972.81,346.45,1455928.00,36.17,94.86,78.51,36223.19,33970.50,4270363.58,3761162.59,85626.55,125517.91,28984.85,4111541.69,157303.89,157174.34,127074.53,9401.07,3712935.72,412292.56,-42467.39,1679.85,58251.67,160420.43
16055,000034.SZ,计算机设备,神州数码,390.06,19376.61,461417.97,834372.71,1455360.57,323.50,784173.81,0.00,66.56,82.94,23809.31,67229.76,12200000.00,11800000.00,191650.29,28181.62,27323.94,12100000.00,48997.93,50310.48,57249.24,-15612.76,13783000.00,131983.00,-28913.99,3707.11,36631.09,102694.19
16048,000035.SZ,环保行业,中国天楹,244.99,200316.88,387637.68,124303.41,49565.62,133.47,208501.94,0.00,111.52,54.48,72898.48,72780.39,2059267.21,1768329.88,3337.22,129167.32,62211.16,1995755.71,111630.91,116000.41,83706.22,252474.07,2021666.43,829255.51,470394.28,23074.68,274831.91,-611272.87
16017,000036.SZ,房地产开发,华联控股,95.86,77551.16,212760.57,128.04,309044.61,35.74,56529.75,5268.51,60.12,37.29,40631.53,37970.43,188192.72,72455.66,9563.50,7464.70,-3530.48,121995.48,70355.11,70496.52,-194956.31,-11461.63,165400.11,15763.78,-75140.07,3973.44,25113.60,-108354.17
16007,000037.SZ,电力行业,深南电A,27.90,64325.64,68960.46,7361.02,8850.10,12.12,670.35,0.00,15.78,43.43,-43944.87,-51414.22,75717.57,85026.07,92.87,10328.69,1521.27,99690.38,-51317.70,-50816.33,-7499.66,-3925.83,86433.00,15073.58,-16162.34,5764.90,4486.30,12601.12
16039,000038.SZ,文化传媒,*ST大通,29.01,1549.17,64672.20,14170.72,3589.89,6.62,8182.55,0.00,22.38,22.84,-63027.71,-25439.14,225909.95,200789.26,5357.24,5180.79,-993.20,211735.21,-29219.53,-67255.50,-31477.87,-25347.42,243705.93,5932.45,-10425.45,104.81,10849.33,4294.99
16043,000039.SZ,通用设备,中集集团,1543.23,3499538.20,1644273.30,2549118.10,1983712.30,973.42,1750473.80,1694.10,569.80,63.08,666532.30,547306.00,16400000.00,13400000.00,275887.90,580085.70,150726.60,15200000.00,1347154.90,1329505.90,531974.80,2057465.50,15643800.00,1199822.50,-284302.10,173800.90,668316.20,-1218697.80
16007,000040.SZ,电力行业,东旭蓝天,261.53,539797.47,338609.74,328306.86,8587.43,145.71,302160.49,0.00,115.82,55.71,-59027.59,-62055.19,387672.30,321058.56,965.06,17023.85,62040.02,407069.61,-43288.47,-56385.98,9943.90,25775.19,409597.16,10312.68,-21368.40,119.59,29615.16,5594.12
16017,000042.SZ,房地产开发,中洲控股,414.38,104407.61,360793.02,18382.83,2848743.37,332.10,372119.94,2422.19,82.28,80.14,20592.90,18210.68,867613.89,611303.38,26391.38,35099.93,36570.80,780924.97,14297.15,15181.82,-149196.55,14388.99,851426.45,53528.19,-2346.92,300.00,374.39,-161233.49
16079,000045.SZ,光学光电子,深纺织A,54.97,242474.13,30247.28,47999.87,66746.14,15.33,28364.38,180.53,39.64,27.89,6116.24,4065.00,229374.79,190851.94,3797.33,12208.88,-13.03,218248.35,6663.39,8623.35,2407.12,-443.70,233525.62,25021.66,-25852.94,1488.19,44762.22,28827.40
16058,000046.SZ,多元金融,泛海控股,1102.45,47421.94,368086.42,104300.08,4540773.23,964.72,399074.97,52157.71,137.73,87.51,-1125451.15,-992444.95,1492280.28,335905.11,9564.89,440981.42,513729.24,1968876.48,-1219880.74,-1309000.41,-1462225.92,1062531.90,486165.17,270976.57,-1312062.47,26289.82,17232.21,-1198338.98
16017,000048.SZ,房地产开发,京基智农,148.33,319585.51,352696.50,3644.98,429851.93,122.73,67219.96,2726.02,25.59,82.75,38933.96,33915.20,322147.44,159487.97,20572.21,23134.56,923.77,264870.66,66610.22,63234.31,-2427.62,264072.14,837783.36,31796.52,-256203.34,1553.79,261718.20,-10296.42
16074,000049.SZ,电池,德赛电池,107.77,85246.55,27102.46,515021.66,258306.57,73.48,496801.38,0.00,34.29,68.18,79376.54,75613.21,1947085.43,1764740.72,13733.77,26990.23,2492.20,1852961.56,95283.69,95026.67,-25348.58,48040.95,1961430.33,123248.19,-78823.96,473.15,72996.19,6100.94
16079,000050.SZ,光学光电子,深天马A,756.82,2429684.19,403533.40,670624.40,414425.81,455.60,607719.06,0.00,301.23,60.20,154245.71,68701.74,3182921.38,2599233.81,34010.26,101056.35,56636.49,3014728.01,162263.16,166078.88,-59038.86,505299.81,3288617.27,356651.34,-798084.83,6.15,610121.47,243418.30
16045,000055.SZ,装修装饰,方大集团,122.61,66341.43,128756.38,55645.38,73328.09,66.70,134312.35,128.05,55.91,54.40,22216.81,16765.04,355772.44,276130.06,5987.76,16944.37,10300.16,331892.40,27176.24,26788.42,-13613.55,-6342.53,347228.34,39379.11,-11650.07,525.82,11403.29,4921.97
16086,000056.SZ,房地产服务,皇庭国际,109.26,3981.10,10378.27,24554.67,3591.91,75.41,10391.02,7455.66,33.85,69.02,-115733.18,-24409.02,75441.04,22175.60,1637.84,10214.76,76075.49,112167.20,-134960.19,-153431.45,-8286.49,40837.15,74632.20,11396.01,-2514.99,0.00,1178.74,-46607.95
16036,000058.SZ,商业百货,深赛格,56.32,26539.69,110254.35,20924.86,169799.71,30.59,38031.96,15866.89,25.73,54.31,4638.27,1450.25,199465.34,156131.21,1733.32,12315.92,8595.72,182481.35,20174.98,20211.02,27421.93,75402.97,195522.14,77547.65,23395.43,2768.72,3860.39,-71376.47
16023,000059.SZ,石油行业,华锦股份,330.72,1261349.04,975495.71,16496.01,447344.69,181.40,205236.70,0.00,149.33,54.85,89388.26,88372.76,3855230.71,3049203.66,31654.66,165494.14,32105.47,3706531.42,112544.74,110944.41,180201.00,280475.95,4398155.05,127266.22,-35287.42,1040.00,36448.66,-65069.67
16032,000060.SZ,有色金属,中金岭南,276.04,772724.37,178271.54,58742.91,240678.24,138.40,104336.08,0.00,137.64,50.14,117168.68,105795.66,4449955.49,4180016.97,14861.89,53277.97,15899.87,4328462.31,151110.99,148895.79,14725.08,176751.65,3716284.94,193324.54,-324822.24,7964.60,464927.89,161745.95
16037,000061.SZ,贸易行业,农产品,206.70,201084.43,153147.95,12476.33,90718.67,131.93,102803.52,0.00,74.76,63.83,37418.99,21352.42,409218.09,276408.24,16083.93,46135.13,21912.86,368825.57,70989.77,72158.96,14301.75,124261.21,439249.39,67719.77,-43758.87,5068.45,65844.61,-66194.70
16022,000062.SZ,电子元件,深圳华强,157.67,23873.66,253772.16,478432.06,299153.63,89.70,78823.22,11707.82,67.97,56.89,88343.31,86726.17,2284058.17,2023926.49,59745.76,31061.62,11420.42,2145634.77,134393.38,133408.47,69094.20,-93158.95,2259389.24,60982.93,-43218.95,0.00,36835.81,198828.53
16015,000063.SZ,通信设备,中兴通讯,1687.63,1143701.10,5071331.00,1750905.90,3631675.30,1154.76,2171726.70,0.00,532.88,68.42,681294.10,330594.10,11500000.00,7415984.60,873315.20,544461.30,96290.60,10900000.00,867610.50,849892.60,766752.70,1572352.70,12097600.00,2233400.00,-1059243.80,46636.10,568636.90,277851.40
16005,000065.SZ,工程建设,北方国际,193.44,190298.76,374706.32,379901.36,99132.69,125.02,551959.41,0.00,68.42,64.63,62370.76,38010.27,1305001.27,1165464.43,32467.48,27017.16,16031.92,1244158.13,80772.79,80704.10,-168083.43,149743.32,1344744.68,52502.34,-214393.15,270.31,69894.63,-94997.53
16055,000066.SZ,计算机设备,中国长城,327.11,396959.92,387811.52,474552.63,719684.12,219.47,539641.32,2087.36,107.63,67.10,59762.43,13230.83,1779043.30,1407199.13,65347.62,107768.05,34444.64,1748174.30,74093.89,73828.29,-76282.87,-28886.89,2102607.44,252616.92,-225531.99,2539.71,102328.31,178586.89
16048,000068.SZ,环保行业,华控赛格,40.28,19858.21,29514.63,46799.13,7802.92,33.70,60648.12,9.43,6.58,83.66,-9774.09,-10316.75,93583.99,85188.95,998.88,7670.93,7815.28,105289.15,-12410.44,-12344.31,-18722.81,-2038.42,86136.98,14086.90,-124.80,0.00,637.31,-16557.78
16017,000069.SZ,房地产开发,华侨城A,4800.61,2178291.92,6757301.28,306985.89,24777200.00,3592.75,3505278.71,18305.73,1207.86,74.84,379911.24,229700.17,10300000.00,7576288.38,340606.57,300127.82,239593.13,9118612.19,1045202.46,1049057.89,738466.52,1923791.19,10095900.00,459927.42,-394470.76,107132.75,591039.57,-789556.20
16015,000070.SZ,通信设备,特发信息,83.24,51258.08,181805.18,206544.22,94241.95,58.03,47935.97,327.31,25.21,69.72,-61845.33,-66434.34,459083.85,406684.41,10155.04,13492.87,12759.04,471282.13,-60426.92,-60090.39,-114714.51,-57773.11,372209.63,46537.69,-36568.77,2381.28,33660.13,-20182.58
16083,000078.SZ,医药商业,海王生物,376.04,118729.42,412701.71,1899196.25,379290.85,302.96,775573.72,0.00,73.08,80.57,9329.53,4229.68,4105358.41,3665549.40,153169.78,117757.74,80722.55,4032734.74,56101.68,57631.01,-51066.99,86612.06,4026311.19,103032.25,-60919.57,2240.19,12922.62,-76759.48
16016,000088.SZ,航运港口,盐田港,139.51,356676.87,142430.25,4041.93,636.72,37.45,68261.52,0.00,102.06,26.85,46141.37,45336.18,67986.82,41888.85,751.79,12689.81,3100.64,59064.70,52642.13,53120.25,-1205.21,32390.04,69790.47,16117.66,-60314.24,43915.45,200034.50,26719.23
16001,000089.SZ,航空机场,深圳机场,263.30,1385031.85,316429.50,54529.31,749.50,144.28,1061.29,1863.32,119.03,54.79,-3443.91,-7548.75,330564.47,303030.52,1082.28,13973.83,12586.82,338774.30,-1132.97,-2658.58,115854.41,99048.65,340582.15,136420.67,-265810.56,4101.68,157602.02,282667.79
16005,000090.SZ,工程建设,天健集团,598.24,50308.42,841226.60,336819.24,2850511.87,469.97,1381473.12,3661.38,128.27,78.56,193335.72,188941.03,2326933.19,1867589.44,22822.32,43958.87,25926.04,2015711.24,280773.67,277782.13,-46826.41,107199.42,2678028.60,189042.00,-46270.56,1784.68,67982.43,-107755.28
16023,000096.SZ,石油行业,广聚能源,30.84,4636.23,152778.70,2965.35,6285.96,1.70,53.88,17.86,29.14,5.50,6770.44,3130.18,161971.22,145595.23,4913.76,5337.69,-1757.96,154538.31,10345.93,10372.16,-17857.19,-5491.23,179984.42,7154.38,-9237.86,6186.40,307.19,-3083.51
16001,000099.SZ,航空机场,中信海直,66.17,213626.14,192970.15,83127.47,27429.98,16.65,9284.08,0.00,49.52,25.16,24648.17,16306.91,168072.60,123504.91,1433.95,6674.48,3766.13,140847.08,29975.10,31726.41,118184.28,72895.25,184180.08,45731.86,-21861.34,203.33,29563.94,67166.56
16079,000100.SZ,光学光电子,TCL科技,3087.33,11357900.00,3139369.25,1823878.22,1408335.69,1890.88,2429785.98,579.42,1196.45,61.25,1005744.40,943724.10,16400000.00,13100000.00,191928.50,439332.00,372791.50,14900000.00,1735256.70,1756409.30,1187328.80,3287845.30,14007900.00,814569.80,-3363304.10,212567.50,3085513.30,1278250.40
16047,000150.SZ,医疗服务,*ST宜康,42.92,63150.66,7380.01,37142.73,1488.78,46.10,48032.66,2935.34,-3.18,107.40,-68195.13,-76163.45,133440.73,112026.29,3571.61,17569.25,25603.62,159440.93,-62267.06,-68711.67,-5892.97,11873.73,125760.35,56844.15,-7943.98,0.00,5260.74,-9822.73
16037,000151.SZ,贸易行业,中成股份,36.73,6523.57,112038.32,38601.02,35200.99,22.36,63328.74,0.00,14.37,60.87,797.26,-5310.80,215961.27,180834.76,4576.45,19712.53,2730.51,210068.30,8253.75,8501.92,24865.63,-1724.71,230569.01,32942.37,-37726.58,1319.11,1093.26,67015.74
16024,000153.SZ,化学制药,丰原药业,38.16,70481.23,25130.49,65348.43,56953.18,22.59,37403.38,10.16,15.58,59.18,11459.75,6994.03,350166.87,244739.66,65372.97,14791.87,3855.93,338766.22,14602.81,14973.14,-1819.76,23788.17,330445.53,33959.67,-14972.76,34.18,15735.90,-10601.52
16007,000155.SZ,电力行业,川能动力,173.14,590750.74,273707.04,231275.93,3012.09,100.39,167777.63,0.00,72.74,57.99,33997.61,22584.94,440800.50,294126.37,618.88,22762.36,33044.23,351737.38,88770.54,85677.21,123059.74,139444.75,416820.18,34370.63,-165489.96,3287.28,149228.63,149106.40
16039,000156.SZ,文化传媒,华数传媒,256.00,857803.24,702352.23,137873.41,128484.86,110.96,332607.40,0.00,145.04,43.34,90679.42,71917.24,848366.09,575798.96,88627.21,81604.51,-14554.11,770004.86,93493.19,92957.99,-29446.34,280644.36,923776.53,220700.98,-272110.91,4412.22,198265.65,-37979.79
16059,000157.SZ,工程机械,中联重科,1220.18,677254.21,1516695.38,4302669.33,1350145.00,637.21,1470878.00,0.00,582.97,52.22,626976.81,582838.37,6713062.68,5128006.70,347312.27,167348.43,3121.67,6069774.49,723110.83,732366.26,310403.71,262472.58,6264921.60,439398.07,-183402.30,52166.79,291360.85,242061.88
16042,000158.SZ,综合行业,常山北明,165.98,247895.70,236127.27,264111.47,301026.51,104.26,256539.16,0.00,61.72,62.82,13100.41,-9233.01,1088160.60,972916.28,26744.81,33307.67,23423.04,1085582.76,14994.50,13907.52,-14710.71,45870.18,972478.40,59758.94,-36595.29,568.42,29216.49,-23839.08
16023,000159.SZ,石油行业,国际实业,36.89,32801.03,11334.27,30128.43,73891.28,14.25,9923.81,348.54,22.64,38.63,2766.27,287.10,111915.93,101744.79,1183.15,7001.99,3445.35,116127.83,13542.37,11502.75,-428.06,1072.68,133012.66,5950.01,-11545.76,2045.62,667.04,10092.55
16027,000166.SZ,证券,申万宏源,6010.11,112648.45,10858000.00,409373.66,0.00,4939.57,1695075.37,0.00,1070.55,82.19,939836.94,917695.63,3430742.81,0.00,0.00,1072866.57,0.00,2317660.19,1113082.62,1107912.23,2286245.51,-4081801.47,0.00,719317.76,3204072.92,458451.06,46182.66,3166275.43
16026,000301.SZ,化纤行业,东方盛虹,1320.03,3118660.24,1339845.05,53109.76,608599.17,1025.95,1269621.75,3444.50,294.08,77.72,454360.40,123555.50,5172217.97,4307320.36,15539.63,64226.21,109178.34,4559927.68,601675.41,605873.17,-625464.08,533371.11,5473491.75,204577.41,-4100825.43,2295.76,4171736.51,2941207.08
16019,000333.SZ,家电行业,美的集团,3879.46,2285284.80,7187555.60,2463644.00,4592443.90,2531.21,6598355.90,0.00,1348.25,65.25,2857365.00,2592908.60,34300000.00,26500000.00,2864734.40,1026628.30,-438611.10,31300000.00,3328119.50,3371754.40,1700153.10,3509170.40,31049000.00,3209584.60,1359958.60,564827.70,682535.70,-3120453.90
16035,000338.SZ,汽车零部件,潍柴动力,2770.44,3319011.79,7504336.14,1819078.96,3158518.46,1740.83,3959646.61,0.00,1029.62,62.84,925448.82,831623.40,20400000.00,16400000.00,1090260.18,805600.00,-45040.77,19000000.00,1388899.14,1405479.14,1226099.51,1465755.93,19294500.00,2788371.90,-540857.90,48196.94,601107.41,312345.92
16020,000400.SZ,电网设备,许继电气,176.68,152046.33,285421.38,609135.61,273450.83,75.12,512785.08,0.00,101.57,42.51,72437.30,66819.86,1199069.74,952241.94,38853.40,46999.15,1109.04,1113969.47,92413.21,96129.92,114119.53,130435.71,1073313.33,118774.87,-14869.13,0.00,14978.36,-1447.05
16004,000401.SZ,水泥建材,冀东水泥,603.30,3235195.92,749609.54,138764.23,318803.53,265.52,414940.62,0.00,337.79,44.01,281020.97,241863.00,3633756.86,2656604.51,57964.56,398801.72,65593.29,3243904.54,498523.95,531020.24,138573.71,621145.12,2976207.09,318135.03,-187565.11,42570.97,230221.35,-295006.30
16017,000402.SZ,房地产开发,金融街,1647.80,287736.97,1785399.46,72180.01,8425221.48,1221.85,946777.05,125329.74,425.96,74.15,164280.36,44487.70,2415531.36,1897471.01,98296.85,42960.27,131938.88,2265137.10,267344.29,269850.11,-102667.23,389300.74,2466622.38,100701.18,407551.24,7917.51,6401.22,-899530.48
16085,000403.SZ,生物制品,派林生物,70.88,73973.57,88567.27,53537.92,73896.83,7.60,17076.09,0.00,63.28,10.72,39106.40,25958.24,197173.43,106330.91,22927.03,18972.68,-4577.75,148743.63,46042.74,45801.11,78552.11,40821.81,173681.10,25607.64,-67827.69,370.10,32615.83,105580.84
16019,000404.SZ,家电行业,长虹华意,117.32,145534.34,365769.14,112053.69,153734.41,71.14,234915.68,0.00,46.19,60.63,18543.35,3189.22,1319906.18,1205706.87,13617.65,35669.39,-4654.14,1296953.03,32612.49,33286.44,116267.09,159842.70,1126058.25,82709.48,-4841.56,10322.20,29073.87,-45267.25
16069,000407.SZ,燃气,胜利股份,70.38,189641.64,86724.90,36823.57,37456.98,40.16,33535.87,8.25,30.22,57.07,11003.31,10057.28,454762.18,388217.28,24831.16,18218.96,12613.92,447870.64,23526.01,22955.50,-3079.35,29130.97,521770.46,25564.45,-28871.12,11660.80,28667.25,-3339.20
16051,000408.SZ,化肥行业,藏格矿业,106.25,323754.19,79963.80,8949.48,46613.45,11.71,22967.22,80.00,94.54,11.02,142733.99,135792.46,362259.43,149157.33,4535.54,24467.09,-1017.86,200711.48,179619.76,169492.26,34537.23,203521.84,345006.41,17334.31,-176997.23,0.00,6197.63,8012.62
16042,000409.SZ,综合行业,云鼎科技,11.99,18741.33,12336.15,38823.22,19536.69,5.99,32190.55,256.06,6.00,49.96,1759.75,925.87,50820.56,28465.31,982.76,10114.80,366.00,43674.13,4932.61,4931.26,-6041.55,-1875.42,42349.25,11404.46,-3627.71,0.00,399.51,-538.42
16043,000410.SZ,通用设备,*ST沈机,29.94,82583.30,9481.49,28499.97,67139.91,35.71,71710.38,80.61,-5.77,119.27,-86331.99,-282649.48,169876.84,155395.57,10451.48,29312.74,8324.89,215535.59,-77508.81,-93469.43,-49196.41,-30939.34,73387.78,60313.06,21640.53,41.41,1286.12,-39897.60
16083,000411.SZ,医药商业,英特集团,122.45,79724.20,190248.51,536912.69,289674.68,87.30,374330.20,78.40,35.16,71.29,16780.99,15312.06,2673097.95,2498595.97,60335.13,41524.67,14318.26,2620360.62,55877.30,54062.12,14061.04,32602.39,2621886.51,55728.02,-14370.81,453.13,18909.29,-4170.54
